"id","price","room_type"
33449304,NA,"Private room"
31211385,NA,"Entire home/apt"
38085023,NA,"Private room"
51727600,NA,"Entire home/apt"
47804493,NA,"Private room"
783208968751785856,NA,"Private room"
23781939,NA,"Entire home/apt"
795580582942072064,NA,"Private room"
771331861044371584,NA,"Entire home/apt"
661725822508445440,NA,"Private room"
22356093,NA,"Private room"
23952724,NA,"Private room"
23169146,NA,"Shared room"
22406251,NA,"Private room"
952770872245256192,NA,"Private room"
324800,NA,"Entire home/apt"
22191646,NA,"Entire home/apt"
3825437,NA,"Entire home/apt"
1121098794146870656,NA,"Entire home/apt"
23667137,NA,"Private room"
22919133,NA,"Private room"
26324904,NA,"Entire home/apt"
30088906,NA,"Entire home/apt"
22671517,NA,"Private room"
22308824,NA,"Entire home/apt"
734163041073833600,NA,"Entire home/apt"
22705963,NA,"Private room"
68253,NA,"Private room"
22387975,NA,"Private room"
51883399,101,"Private room"
895368,NA,"Entire home/apt"
960202908461149952,NA,"Entire home/apt"
2425871,NA,"Private room"
1158031589091051520,449,"Entire home/apt"
634696594171846144,190,"Entire home/apt"
29851985,NA,"Private room"
848458045522763648,175,"Entire home/apt"
25887818,NA,"Entire home/apt"
963816554240880896,375,"Entire home/apt"
1181127097467286016,447,"Private room"
773168801275008896,NA,"Private room"
1099961726090294016,NA,"Private room"
1102889669594920192,NA,"Private room"
880322589423595520,NA,"Private room"
23661749,NA,"Private room"
3908094,NA,"Private room"
2022920,NA,"Entire home/apt"
29874717,NA,"Shared room"
27906346,NA,"Entire home/apt"
26458835,NA,"Private room"
1035076510299200256,65,"Private room"
26496330,NA,"Private room"
27501755,NA,"Entire home/apt"
31153044,NA,"Private room"
31458142,NA,"Entire home/apt"
40871301,NA,"Private room"
42322230,NA,"Private room"
36838859,NA,"Entire home/apt"
41693525,NA,"Private room"
26571486,NA,"Entire home/apt"
26808322,NA,"Private room"
28506595,NA,"Private room"
27131400,NA,"Entire home/apt"
29782186,NA,"Private room"
27736140,NA,"Entire home/apt"
30799727,NA,"Private room"
1033569522990106112,1029,"Entire home/apt"
41944642,NA,"Private room"
38284238,NA,"Entire home/apt"
40300360,NA,"Entire home/apt"
38481169,NA,"Hotel room"
41770189,NA,"Private room"
751264243680317568,NA,"Entire home/apt"
1025373250192922368,NA,"Entire home/apt"
27710264,NA,"Entire home/apt"
31626920,NA,"Private room"
39726547,NA,"Private room"
42115659,NA,"Private room"
39921190,NA,"Private room"
40447283,NA,"Entire home/apt"
43150235,NA,"Private room"
48242704,NA,"Private room"
53232544,NA,"Entire home/apt"
46003877,NA,"Private room"
656613711417727488,45,"Private room"
1089958346682556288,NA,"Private room"
913349521354135168,NA,"Private room"
3864528,NA,"Private room"
1173927882151572736,500,"Entire home/apt"
50735000,99,"Private room"
880643090819651712,220,"Entire home/apt"
7545751,NA,"Private room"
10524082,NA,"Private room"
902718214390417920,38,"Private room"
691373277862293248,155,"Entire home/apt"
45489605,NA,"Private room"
47784065,NA,"Private room"
763170185660414336,NA,"Private room"
722027068761035264,NA,"Private room"
772622520708905216,NA,"Entire home/apt"
444430,NA,"Private room"
4885240,NA,"Entire home/apt"
4385360,NA,"Entire home/apt"
786149074369437312,152,"Private room"
726026082789429632,113,"Entire home/apt"
854439069631231360,117,"Private room"
737474142949878784,80,"Private room"
1175282215984440320,250,"Entire home/apt"
993554226277677312,71,"Private room"
950633540058086912,68,"Private room"
645088514323491712,66,"Shared room"
815406323850393344,37,"Private room"
892205665073544064,90,"Entire home/apt"
688696272821787520,263,"Entire home/apt"
20033157,NA,"Private room"
43388163,35,"Private room"
31836311,34,"Private room"
51804585,70,"Entire home/apt"
52132742,50,"Private room"
38161818,40,"Private room"
1215457493984728576,92,"Private room"
22980907,55,"Private room"
832361738655224960,76,"Private room"
1213210056918462976,104,"Private room"
867385242229456256,140,"Entire home/apt"
4462553,NA,"Entire home/apt"
1421933,NA,"Private room"
1979579,NA,"Entire home/apt"
2060768,NA,"Entire home/apt"
