"host_id","host_is_superhost","host_identity_verified","host_has_profile_pic"
3805240,0,0,0
7722968,0,0,0
474691192,0,0,0
45700928,0,0,0
55086196,0,0,0
256556853,0,0,0
58687873,0,0,0
24558222,0,0,0
91156145,0,0,0
3931900,0,0,0
555538068,0,0,0
27848,0,0,0
495665151,0,0,0
15531096,0,0,0
418151816,0,0,0
417806601,0,0,0
508069393,0,0,0
56865116,0,0,0
244505851,0,0,0
34161028,0,0,0
284126288,0,0,0
94689282,0,0,0
5238263,0,0,0
393235488,0,0,0
2897835,0,0,0
365153,0,0,0
377158715,0,0,0
7000342,0,0,0
1194377,0,0,0
215565541,0,0,0
243288727,0,0,0
558734210,0,0,0
270554496,0,0,0
54582219,0,0,0
122363368,0,0,0
444665862,0,0,0
105150325,0,0,0
124028462,0,0,0
375556460,0,0,0
493199991,0,0,0
151183,0,0,0
1313306,0,0,0
45362849,0,0,0
426695342,0,0,0
527694940,0,0,0
22954228,0,0,0
9754117,0,0,0
10471097,0,0,0
6723969,0,0,0
6023360,0,0,0
4018660,0,0,0
116599,0,0,0
76437430,0,0,0
1758019,0,0,0
45400201,0,0,0
363928053,0,0,0
11598359,0,0,0
2702777,0,0,0
18876264,0,0,0
12223914,0,0,0
23243453,0,0,0
13499885,0,0,0
15859636,0,0,0
127836236,0,0,0
8255208,0,0,0
4044499,0,0,0
1540537,0,0,0
23621417,0,0,0
626876,0,0,0
21500500,0,0,0
10478532,0,0,0
5605897,0,0,0
11721588,0,0,0
5019619,0,0,0
19395095,0,0,0
12967572,0,0,0
14262697,0,0,0
6533489,0,0,0
10718241,0,0,0
6706914,0,0,0
9582999,0,0,0
6885530,0,0,0
23971405,0,0,0
21652004,0,0,0
4098538,0,0,0
7651028,0,0,0
7759020,0,0,0
529546,0,0,0
1717520,0,0,0
14140782,0,0,0
88326292,0,0,0
335040889,0,0,0
95344065,0,0,0
29707420,0,0,0
6789600,0,0,0
24747103,0,0,0
942933,0,0,0
13535952,0,0,0
7607092,0,0,0
9813233,0,0,0
23929065,0,0,0
10317189,0,0,0
10526877,0,0,0
21937306,0,0,0
2715062,0,0,0
11460768,0,0,0
451251460,0,0,0
159027993,0,0,0
521073358,0,0,0
24706492,0,0,0
391638914,0,0,0
17791294,0,0,0
102287990,0,0,0
438952657,0,0,0
9054033,0,0,0
8732038,0,0,0
18289867,0,0,0
11249304,0,0,0
184874464,0,0,0
244116720,0,0,0
230705060,0,0,0
24001156,0,0,0
27078779,0,0,0
33128992,0,0,0
283679638,0,0,0
61277311,0,0,0
21026294,0,0,0
408991577,0,0,0
488152765,0,0,0
30080463,0,0,0
443243931,0,0,0
183178516,0,0,0
384532776,0,0,0
110858930,0,0,0
439066367,0,0,0
24765924,0,0,0
490745099,0,0,0
53618094,0,0,0
388818764,0,0,0
3508047,0,0,0
166432964,0,0,0
551130565,0,0,0
563247594,0,0,0
277982559,0,0,0
179026754,0,0,0
488767748,0,0,0
8977237,0,0,0
410066428,0,0,0
40684968,0,0,0
124106675,0,0,0
349262538,0,0,0
275839005,0,0,0
567823530,0,0,0
545393224,0,0,0
57283593,0,0,0
12485770,0,0,0
51501835,0,0,0
55036405,0,0,0
36613427,0,0,0
1640615,0,0,0
12495861,0,0,0
465479887,0,0,0
234331642,0,0,0
49897449,0,0,0
457828432,0,0,0
18111963,0,0,0
181108819,0,0,0
293483235,0,0,0
358711239,0,0,0
393474623,0,0,0
3869,0,0,0
59117179,0,0,0
23715762,0,0,0
3404110,0,0,0
12099193,0,0,0
56916811,0,0,0
43044876,0,0,0
40523974,0,0,0
46176891,0,0,0
6930315,0,0,0
118430352,0,0,0
9280524,0,0,0
6824234,0,0,0
491834352,0,0,0
240298366,0,0,0
18875522,0,0,0
6896056,0,0,0
258023,0,0,0
39123185,0,0,0
48573053,0,0,0
78499938,0,0,0
4006238,0,0,0
8330049,0,0,0
325958751,0,0,0
242603381,0,0,0
7258900,0,0,0
14815035,0,0,0
4076045,0,0,0
83004119,0,0,0
435938215,0,0,0
16414492,0,0,0
207599465,0,0,0
80780369,0,0,0
64018594,0,0,0
58964906,0,0,0
156396144,0,0,0
5313154,0,0,0
83093714,0,0,0
121431667,0,0,0
341381811,0,0,0
234351695,0,0,0
337615993,0,0,0
162914079,0,0,0
64033956,0,0,0
34343792,0,0,0
7229833,0,0,0
157599851,0,0,0
89158733,0,0,0
84562269,0,0,0
233417287,0,0,0
30916064,0,0,0
171825960,0,0,0
257487417,0,0,0
21934258,0,0,0
22866437,0,0,0
710782,0,0,0
439763939,0,0,0
39150374,0,0,0
121379512,0,0,0
51260506,0,0,0
163905917,0,0,0
1661965,0,0,0
30424811,0,0,0
7018154,0,0,0
115151548,0,0,0
169686676,0,0,0
167568754,0,0,0
226088610,0,0,0
3428456,0,0,0
56704653,0,0,0
40130852,0,0,0
166873118,0,0,0
67730,0,0,0
61394859,0,0,0
4770121,0,0,0
56388863,0,0,0
12399023,0,0,0
577734657,0,0,0
20491372,0,0,0
443775399,0,0,0
12150056,0,0,0
173987923,0,0,0
584022815,0,0,0
63158102,0,0,0
555687103,0,0,0
485816462,0,0,0
