"id","price","availability_30","availability_60","availability_90","availability_365","month_year"
891259523090721280,72,28,58,88,363,NA
21818110,48,0,4,34,124,2022-10-01
921731972122044672,955,30,60,90,365,NA
7010135,NA,0,0,0,0,NA
48738829,NA,0,0,0,0,NA
3533741,NA,0,0,0,0,NA
24582124,NA,0,0,0,0,NA
54263674,100,2,2,2,162,2024-06-01
736216685759993216,84,24,54,83,83,NA
4243533,NA,0,0,0,0,NA
3629580,NA,0,0,0,0,2014-08-01
2204672,NA,0,0,0,0,NA
958972019916575232,53,20,20,20,178,2024-04-01
902225058371011584,100,30,60,90,365,2023-08-01
906708901829665664,105,30,60,90,90,NA
7646092,NA,0,0,0,0,2015-11-01
10001022,NA,0,0,0,0,NA
6359266,NA,0,0,0,0,NA
37557533,NA,30,60,90,365,NA
40538599,NA,0,0,0,0,2020-01-01
4054332,NA,0,0,0,0,2016-09-01
50620816,NA,0,0,0,0,NA
937880575429081472,199,30,60,90,270,NA
37262517,160,0,16,46,136,2024-07-01
583325206900651136,46,4,34,64,339,NA
714525159374684032,338,30,60,90,365,NA
53358037,250,30,60,90,365,2022-01-01
836466517534567936,185,23,53,83,358,NA
820166028658823552,90,1,31,61,240,2024-08-01
552782382741181888,50,0,0,0,157,NA
781954441500424960,NA,3,5,5,5,2023-05-01
10412006,NA,0,0,0,0,NA
48194167,NA,0,0,0,0,2021-03-01
27361805,NA,0,0,0,0,2018-08-01
31383493,NA,0,0,0,0,NA
1224652167402740480,191,5,35,65,340,NA
1097848686671488000,57,1,4,34,214,NA
595025950780985600,98,29,59,89,269,NA
820361475735199744,159,0,0,16,291,2024-08-01
765990025204967552,71,30,60,90,365,2023-10-01
39340734,75,27,57,87,177,NA
598713051061239296,120,13,43,73,348,2024-08-01
7740527,NA,0,0,0,0,2015-08-01
18039329,NA,0,0,0,0,2017-05-01
815196047046719872,223,30,60,90,270,2023-11-01
36698970,140,30,60,90,180,2023-11-01
1208037661418104832,97,30,60,90,365,NA
1046506922921701120,46,29,59,89,269,NA
888236603222563840,98,0,0,0,247,NA
1137622612757446272,48,0,25,55,235,NA
14215652,180,18,18,18,277,2024-08-01
10824871,120,0,0,3,278,2023-07-01
1121085081120589824,175,0,8,38,217,NA
10656360,NA,0,0,0,0,NA
6982967,NA,0,0,0,0,NA
11700121,NA,0,0,0,0,2016-07-01
15801194,NA,0,0,0,0,NA
803150657798963072,79,29,59,89,364,2023-02-01
46671693,72,0,3,33,308,2023-06-01
9821183,NA,0,0,0,0,NA
649219147279911936,37,0,1,31,211,2024-07-01
12780993,NA,0,0,0,0,NA
24057583,69,30,60,90,365,2023-09-01
45524309,60,0,0,0,63,NA
38609434,120,30,60,90,90,2019-10-01
973379136714119936,45,30,60,90,270,NA
1032106564091058048,100,0,0,0,35,NA
1126919451935895168,200,19,49,79,354,NA
1177479478277828864,99,29,59,89,363,NA
790126950595547904,155,29,59,89,363,NA
45494351,97,0,0,0,103,NA
18718195,140,30,60,90,364,2023-11-01
7725042,NA,0,0,0,0,NA
8425657,NA,0,0,0,0,NA
20815250,NA,0,0,0,0,NA
692599752789657728,66,30,60,89,89,2022-11-01
28346019,NA,0,0,0,0,2019-03-01
647125962319558656,165,11,41,71,346,NA
27653304,NA,0,0,0,0,NA
9312190,NA,0,0,0,0,NA
17481484,NA,0,0,0,0,NA
15106603,NA,0,0,0,0,2016-10-01
20483387,NA,0,0,0,0,2018-01-01
784294277993627648,600,29,59,89,364,2023-03-01
1169296521633718016,110,30,60,90,270,NA
1151565053985705088,250,0,0,0,61,NA
9902915,NA,0,0,0,0,NA
9920191,NA,0,0,0,0,NA
8506867,NA,0,0,0,0,2016-03-01
11602485,NA,0,0,0,0,NA
20556622,NA,0,0,0,0,NA
13603951,NA,0,0,0,0,NA
46355720,NA,23,23,23,101,2024-07-01
24852797,NA,0,0,0,0,2018-11-01
1046632736813066368,511,0,30,60,239,NA
34596689,NA,0,0,0,0,NA
35574095,NA,0,0,0,0,2019-06-01
22249256,NA,0,0,0,0,NA
21907916,NA,0,0,0,0,NA
21925948,NA,0,0,0,0,NA
