id,room_type,accommodates,bathrooms,bedrooms,minimum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_value,wifi,parking,dryer,washer,kitchen,property_agg,log_price,superhost_t
29943061,2,2,1.0,1.0,3,4.997212273764115,4.955827057601261,4.87,4.85,4.82,1,1,1,0,1,3,5.117993812416755,1
29946757,2,2,1.0,1.0,60,5.8944028342648505,0.6931471805599453,5.0,5.0,4.5,1,0,0,0,1,5,4.0943445622221,0
29960000,3,2,1.0,1.0,30,4.143134726391533,3.6109179126442243,4.89,4.86,4.76,1,1,1,1,1,5,5.703782474656201,0
29990168,3,8,1.0,1.0,30,5.726847747587197,2.1972245773362196,4.67,5.0,4.89,1,1,1,0,1,5,4.90527477843843,0
29993012,3,3,1.0,0.0,30,5.583496308781699,3.044522437723423,4.95,5.0,4.81,1,1,1,0,1,5,4.700480365792417,1
30003453,3,4,1.0,1.0,30,4.143134726391533,4.859812404361672,4.79,4.81,4.81,1,1,1,0,1,5,5.1647859739235145,0
30043966,3,6,1.0,2.0,30,0.0,4.59511985013459,4.52,4.6,4.4,1,1,1,1,1,5,5.003946305945459,0
30053410,2,1,1.0,1.0,30,5.8944028342648505,0.0,5.0,5.0,5.0,1,0,1,1,1,5,4.174387269895637,0
30065198,3,3,1.0,1.0,30,5.44673737166631,0.6931471805599453,5.0,5.0,5.0,1,1,1,1,1,5,4.007333185232471,0
30082832,2,2,1.0,2.0,30,5.062595033026967,5.318119993844216,4.87,4.9,4.77,1,1,1,0,1,3,5.820082930352362,1
30084269,2,2,1.0,1.0,30,5.755742213586912,2.70805020110221,4.8,5.0,4.73,1,0,1,0,1,5,4.605170185988092,0
30089412,2,5,1.0,2.0,2,4.795790545596741,5.081404364984463,4.91,4.95,4.8,1,1,1,0,0,5,5.556828061699537,1
30096719,2,2,1.0,1.0,1,5.666426688112432,5.749392985908253,4.75,4.87,4.71,1,1,1,0,0,5,4.976733742420574,1
